ano,pais,quantidade_exportacao,valor_exportacao,valor_exportacao_por_litro,producao_brasileira,percentual_exportacao
2010,Antigua e Barbuda,0,0,0.0,220073693,0.0
2010,Antilhas Holandesas,9810,12808,1.31,220073693,0.0044575977556754135
2010,Argentina,0,0,0.0,220073693,0.0
2010,Aruba,0,0,0.0,220073693,0.0
2010,Australia,1823,17960,9.85,220073693,0.000828358889765166
2010,Austria,0,0,0.0,220073693,0.0
2010,Bahamas,3175,12759,4.02,220073693,0.0014426985600682406
2010,Bangladesh,0,0,0.0,220073693,0.0
2010,Barbados,0,0,0.0,220073693,0.0
2010,Barein,0,0,0.0,220073693,0.0
2010,Belgica,42532,185411,4.36,220073693,0.01932625359269997
2010,Belize,0,0,0.0,220073693,0.0
2010,Benin,0,0,0.0,220073693,0.0
2010,Bolivia,54,282,5.22,220073693,2.4537235352341727e-05
2010,Bosnia-Herzegovina,0,0,0.0,220073693,0.0
2010,Brasil,0,0,0.0,220073693,0.0
2010,Bulgaria,0,0,0.0,220073693,0.0
2010,Cabo Verde,11991,49366,4.12,220073693,0.00544862942796166
2010,Camaroes,0,0,0.0,220073693,0.0
2010,Canada,0,0,0.0,220073693,0.0
2010,Catar,0,0,0.0,220073693,0.0
2010,Ilhas Cayman,0,0,0.0,220073693,0.0
2010,Chile,0,0,0.0,220073693,0.0
2010,China,795,2358,2.97,220073693,0.0003612426315761421
2010,Chipre,0,0,0.0,220073693,0.0
2010,Cingapura,1533,5504,3.59,220073693,0.0006965848480581457
2010,Colombia,0,0,0.0,220073693,0.0
2010,Comores,0,0,0.0,220073693,0.0
2010,Congo,0,0,0.0,220073693,0.0
2010,Coreia do Sul,0,0,0.0,220073693,0.0
2010,Costa do Marfim,0,0,0.0,220073693,0.0
2010,Costa Rica,0,0,0.0,220073693,0.0
2010,Croacia,0,0,0.0,220073693,0.0
2010,Cuba,0,0,0.0,220073693,0.0
2010,Curacao,0,0,0.0,220073693,0.0
2010,Dinamarca,7034,69161,9.83,220073693,0.003196202101266143
2010,Dominica,0,0,0.0,220073693,0.0
2010,El Salvador,0,0,0.0,220073693,0.0
2010,Emirados Arabes Unidos,1035,3206,3.1,220073693,0.0004702970109198831
2010,Equador,0,0,0.0,220073693,0.0
2010,Eslovaquia,0,0,0.0,220073693,0.0
2010,Espanha,0,0,0.0,220073693,0.0
2010,Estados Unidos,228968,478630,2.09,220073693,0.10404151303990705
2010,Estonia,15848,40778,2.57,220073693,0.0072012241826650315
2010,Filipinas,0,0,0.0,220073693,0.0
2010,Finlandia,0,0,0.0,220073693,0.0
2010,Franca,3614,18904,5.23,220073693,0.0016421771956178332
2010,Gana,0,0,0.0,220073693,0.0
2010,Gibraltar,0,0,0.0,220073693,0.0
2010,Grecia,0,0,0.0,220073693,0.0
2010,Guatemala,0,0,0.0,220073693,0.0
2010,Guiana,783,3654,4.67,220073693,0.000355789912608955
2010,Guiana Francesa,0,0,0.0,220073693,0.0
2010,Guine-Bissau,0,0,0.0,220073693,0.0
2010,Guine Equatorial,410,1015,2.48,220073693,0.0001863012313788909
2010,Haiti,2700,3750,1.39,220073693,0.0012268617676170863
2010,Honduras,0,0,0.0,220073693,0.0
2010,Hong Kong,0,0,0.0,220073693,0.0
2010,Hungria,540,4103,7.6,220073693,0.00024537235352341724
2010,Ilha de Man,0,0,0.0,220073693,0.0
2010,Ilhas Virgens,0,0,0.0,220073693,0.0
2010,India,0,0,0.0,220073693,0.0
2010,Indonesia,0,0,0.0,220073693,0.0
2010,Ira,0,0,0.0,220073693,0.0
2010,Iraque,0,0,0.0,220073693,0.0
2010,Irlanda,3969,42795,10.78,220073693,0.001803486798397117
2010,Italia,1458,4828,3.31,220073693,0.0006625053545132267
2010,Jamaica,0,0,0.0,220073693,0.0
2010,Japao,112178,74628,0.67,220073693,0.05097292569175908
2010,Jordania,0,0,0.0,220073693,0.0
2010,Letonia,0,0,0.0,220073693,0.0
2010,Libano,0,0,0.0,220073693,0.0
2010,Liberia,0,0,0.0,220073693,0.0
2010,Luxemburgo,7344,32549,4.43,220073693,0.003337064007918475
2010,Malasia,0,0,0.0,220073693,0.0
2010,Malta,0,0,0.0,220073693,0.0
2010,Ilhas Marshall,0,0,0.0,220073693,0.0
2010,Mauritania,0,0,0.0,220073693,0.0
2010,Mexico,0,0,0.0,220073693,0.0
2010,Montenegro,0,0,0.0,220073693,0.0
2010,Namibia,0,0,0.0,220073693,0.0
2010,Nicaragua,0,0,0.0,220073693,0.0
2010,Nigeria,0,0,0.0,220073693,0.0
2010,Noruega,0,0,0.0,220073693,0.0
2010,Nova Caledonia,0,0,0.0,220073693,0.0
2010,Nova Zelandia,0,0,0.0,220073693,0.0
2010,Holanda,87368,302182,3.46,220073693,0.039699429227099854
2010,Panama,0,0,0.0,220073693,0.0
2010,Paraguai,510989,449197,0.88,220073693,0.2321899510269953
2010,Peru,0,0,0.0,220073693,0.0
2010,Polonia,20464,95198,4.65,220073693,0.009298703412042983
2010,Porto Rico,0,0,0.0,220073693,0.0
2010,Portugal,4577,18970,4.14,220073693,0.002079757892734594
2010,Quenia,0,0,0.0,220073693,0.0
2010,Reino Unido,123624,295690,2.39,220073693,0.056173910799960994
2010,Republica Dominicana,0,0,0.0,220073693,0.0
2010,Russia,0,0,0.0,220073693,0.0
2010,Sao Tome e Principe,0,0,0.0,220073693,0.0
2010,Sao Vicente e Granadinas,0,0,0.0,220073693,0.0
2010,Senegal,0,0,0.0,220073693,0.0
2010,Serra Leoa,0,0,0.0,220073693,0.0
2010,Singapura,0,0,0.0,220073693,0.0
2010,Suazilandia,0,0,0.0,220073693,0.0
2010,Suecia,0,0,0.0,220073693,0.0
2010,Suica,2025,21600,10.67,220073693,0.0009201463257128147
2010,Suriname,1836,1269,0.69,220073693,0.0008342660019796188
2010,Tailandia,0,0,0.0,220073693,0.0
2010,Taiwan,0,0,0.0,220073693,0.0
2010,Tanzania,0,0,0.0,220073693,0.0
2010,Republica Tcheca,1091,5285,4.84,220073693,0.000495743032766756
2010,Togo,0,0,0.0,220073693,0.0
2010,Trindade e Tobago,0,0,0.0,220073693,0.0
2010,Tunisia,0,0,0.0,220073693,0.0
2010,Turquia,0,0,0.0,220073693,0.0
2010,Tuvalu,0,0,0.0,220073693,0.0
2010,Uruguai,914,2929,3.2,220073693,0.00041531542800074696
2010,Vanuatu,0,0,0.0,220073693,0.0
